type,问卷答案,Domain,text,answerFormat
现实型 (R),是/否,活动,我喜欢修理家用电器,BINARY
现实型 (R),是/否,活动,我喜欢修理自行车、汽车等,BINARY
现实型 (R),是/否,活动,我喜欢修理机械设备,BINARY
现实型 (R),是/否,活动,我喜欢制作手办或组装模型,BINARY
现实型 (R),是/否,活动,我喜欢操作无人机,BINARY
现实型 (R),是/否,活动,我喜欢使用机械设备、工具做加工,BINARY
现实型 (R),是/否,活动,我喜欢修理、改装汽车、摩托车等,BINARY
现实型 (R),是/否,活动,我喜欢手工课程、陶艺活动等,BINARY
现实型 (R),是/否,活动,我喜欢设备安装、调试,BINARY
现实型 (R),是/否,活动,我喜欢户外运动、建筑、园艺劳动,BINARY
现实型 (R),是/否,活动,我喜欢生产一线维修、维护,BINARY
研究型 (I),是/否,活动,我喜欢阅读科学书籍或杂志,BINARY
研究型 (I),是/否,活动,我喜欢在实验室工作,BINARY
研究型 (I),是/否,活动,我喜欢参与科学研究项目,BINARY
研究型 (I),是/否,活动,我喜欢制作火箭类科学航模,BINARY
研究型 (I),是/否,活动,我喜欢在实验室操作化学试剂或生物样本,BINARY
研究型 (I),是/否,活动,我喜欢自己阅读某些专题内容,BINARY
研究型 (I),是/否,活动,我喜欢解数学题或下棋类游戏,BINARY
研究型 (I),是/否,活动,我喜欢天文观测或地理勘探知识,BINARY
研究型 (I),是/否,活动,我喜欢编程、开发APP应用,BINARY
研究型 (I),是/否,活动,我喜欢设计算法优化路径等,BINARY
研究型 (I),是/否,活动,我喜欢解剖或制作、观察标本,BINARY
艺术型 (A),是/否,活动,我喜欢素描、绘画或作画,BINARY
艺术型 (A),是/否,活动,我喜欢观看戏剧、话剧、音乐剧演出,BINARY
艺术型 (A),是/否,活动,我喜欢设计家具或建筑,BINARY
艺术型 (A),是/否,活动,我喜欢在乐队、合唱团或管弦乐队中演奏,BINARY
艺术型 (A),是/否,活动,我喜欢玩乐器,BINARY
艺术型 (A),是/否,活动,我喜欢参加独奏会、音乐会或音乐剧,BINARY
艺术型 (A),是/否,活动,我喜欢策划艺展、演出等活动,BINARY
艺术型 (A),是/否,活动,我喜欢摄影,BINARY
艺术型 (A),是/否,活动,我喜欢写作剧本、小说等,BINARY
艺术型 (A),是/否,活动,我喜欢阅读或写作,BINARY
艺术型 (A),是/否,活动,我喜欢参加美术课程或活动,BINARY
社会型 (S),是/否,活动,我喜欢参与心理热线、心理疗愈活动,BINARY
社会型 (S),是/否,活动,我喜欢组织社区活动,BINARY
社会型 (S),是/否,活动,我喜欢加入各种社群、圈子,BINARY
社会型 (S),是/否,活动,我喜欢帮助他人解决个人问题,BINARY
社会型 (S),是/否,活动,我喜欢培训机构做老师,BINARY
社会型 (S),是/否,活动,我喜欢参加聚会,BINARY
社会型 (S),是/否,活动,我喜欢参与养老院、福利院的志愿服务,BINARY
社会型 (S),是/否,活动,我喜欢阅读心理学书籍,BINARY
社会型 (S),是/否,活动,我喜欢参加会议或研讨会,BINARY
社会型 (S),是/否,活动,我喜欢观看体育赛事,BINARY
社会型 (S),是/否,活动,我喜欢结交新朋友,BINARY
企业型 (E),是/否,活动,我喜欢领导他人,BINARY
企业型 (E),是/否,活动,我喜欢销售某种产品,BINARY
企业型 (E),是/否,活动,我喜欢分析市场趋势并制定策略,BINARY
企业型 (E),是/否,活动,我喜欢经营自己的服务或生意,BINARY
企业型 (E),是/否,活动,我喜欢在公开活动中说服他人,BINARY
企业型 (E),是/否,活动,我喜欢发表演讲,BINARY
企业型 (E),是/否,活动,我喜欢担任团体负责人,BINARY
企业型 (E),是/否,活动,我喜欢监督他人的工作,BINARY
企业型 (E),是/否,活动,我喜欢结识重要人物,BINARY
企业型 (E),是/否,活动,我喜欢带领团队完成某个目标,BINARY
企业型 (E),是/否,活动,我喜欢参与某些团体的竞选活动,BINARY
常规型 (C),是/否,活动,我喜欢保持书桌和房间整洁,BINARY
常规型 (C),是/否,活动,我喜欢按流程完成行政事务，如会议、会见等,BINARY
常规型 (C),是/否,活动,我喜欢使用表格处理财务、统计数据,BINARY
常规型 (C),是/否,活动,我喜欢使用ERP系统管理订单、库存、资金等,BINARY
常规型 (C),是/否,活动,我喜欢数据录入,BINARY
常规型 (C),是/否,活动,我喜欢体系管理,BINARY
常规型 (C),是/否,活动,我喜欢报销审核、审计或税务申报,BINARY
常规型 (C),是/否,活动,我喜欢制定并严格执行每日工作计划,BINARY
常规型 (C),是/否,活动,我喜欢学习财务知识,BINARY
常规型 (C),是/否,活动,我喜欢整理并归档文件、报告、纪要等,BINARY
常规型 (C),是/否,活动,我喜欢校对合同、报告的格式或内容,BINARY
现实型 (R),是/否,能力,我使用过木工车间的电动工具，如电锯、车床或砂光机,BINARY
现实型 (R),是/否,能力,我会修手机、电脑等电子产品,BINARY
现实型 (R),是/否,能力,我会修理机械故障、维修保养,BINARY
现实型 (R),是/否,能力,我操作机床、设备进行零件加工,BINARY
现实型 (R),是/否,能力,我会设备、器械的安装、调试,BINARY
现实型 (R),是/否,能力,我能看懂工程蓝图,BINARY
现实型 (R),是/否,能力,我能进行简单的电气维修,BINARY
现实型 (R),是/否,能力,我会修理家具、装修,BINARY
现实型 (R),是/否,能力,我能绘制机械图纸,BINARY
现实型 (R),是/否,能力,我能对电视机进行简单维修,BINARY
现实型 (R),是/否,能力,我能进行简单的管道维修,BINARY
研究型 (I),是/否,能力,我理解真空管的工作原理,BINARY
研究型 (I),是/否,能力,我能说出三种高蛋白食物,BINARY
研究型 (I),是/否,能力,我理解放射性元素的“半衰期”,BINARY
研究型 (I),是/否,能力,我会使用对数表,BINARY
研究型 (I),是/否,能力,我能使用Minitab等软件进行统计分析,BINARY
研究型 (I),是/否,能力,我会使用显微镜,BINARY
研究型 (I),是/否,能力,我能辨认三种星座,BINARY
研究型 (I),是/否,能力,我能描述白细胞的功能,BINARY
研究型 (I),是/否,能力,我能独立设计科学实验的流程,BINARY
研究型 (I),是/否,能力,我理解人造卫星为什么不会掉回地球,BINARY
研究型 (I),是/否,能力,我参加过科学展览或竞赛,BINARY
艺术型 (A),是/否,能力,我会演奏一种乐器,BINARY
艺术型 (A),是/否,能力,我能参与二声部或四声部合唱,BINARY
艺术型 (A),是/否,能力,我能作为独唱表演者演出,BINARY
艺术型 (A),是/否,能力,我能参与演出、表演,BINARY
艺术型 (A),是/否,能力,我会朗诵并进行情感表达,BINARY
艺术型 (A),是/否,能力,我会舞蹈,BINARY
艺术型 (A),是/否,能力,我会素描,BINARY
艺术型 (A),是/否,能力,我能进行绘画或雕塑创作,BINARY
艺术型 (A),是/否,能力,我会设计，比如艺术品、视觉作品等,BINARY
艺术型 (A),是/否,能力,我能设计服装、海报或家具,BINARY
艺术型 (A),是/否,能力,我擅长写故事或诗歌,BINARY
社会型 (S),是/否,能力,我善于向他人解释事情,BINARY
社会型 (S),是/否,能力,我参加过慈善或募捐活动,BINARY
社会型 (S),是/否,能力,我善于合作，与他人共事良好,BINARY
社会型 (S),是/否,能力,我擅长与年纪大的人相处,BINARY
社会型 (S),是/否,能力,我是一个热情好客的人,BINARY
社会型 (S),是/否,能力,我能轻松教导儿童,BINARY
社会型 (S),是/否,能力,我会为聚会策划娱乐活动,BINARY
社会型 (S),是/否,能力,我善于帮助情绪低落或困扰中的人,BINARY
社会型 (S),是/否,能力,我曾在医院、诊所或家庭中担任志愿助理,BINARY
社会型 (S),是/否,能力,我能策划社区、团体活动,BINARY
社会型 (S),是/否,能力,我善于判断人的性格,BINARY
企业型 (E),是/否,能力,我曾在高中或大学担任学生干部,BINARY
企业型 (E),是/否,能力,我能监督他人的工作,BINARY
企业型 (E),是/否,能力,我精力充沛、热情高涨,BINARY
企业型 (E),是/否,能力,我善于说服他人按我的方式做事,BINARY
企业型 (E),是/否,能力,我是一个优秀的销售人员,BINARY
企业型 (E),是/否,能力,我曾作为群体代表，向上级提出意见,BINARY
企业型 (E),是/否,能力,我曾因销售或领导工作获得奖项,BINARY
企业型 (E),是/否,能力,我组织过俱乐部、团体或组织,BINARY
企业型 (E),是/否,能力,我曾创办自己的生意或服务,BINARY
企业型 (E),是/否,能力,我懂得如何成为一名成功的领导者,BINARY
企业型 (E),是/否,能力,我擅长辩论,BINARY
常规型 (C),是/否,能力,我会使用Excel函数处理大量数据、报表,BINARY
常规型 (C),是/否,能力,我擅长核对文件、合同,BINARY
常规型 (C),是/否,能力,我做过秘书、助理工作,BINARY
常规型 (C),是/否,能力,我能高效整理杂乱的文件资料,BINARY
常规型 (C),是/否,能力,我做过行政工作,BINARY
常规型 (C),是/否,能力,我熟悉各种财务系统,BINARY
常规型 (C),是/否,能力,我能在短时间内完成大量文书工作,BINARY
常规型 (C),是/否,能力,我会税务申报、财务审计,BINARY
常规型 (C),是/否,能力,我会使用ERP系统,BINARY
常规型 (C),是/否,能力,我负责过财务,BINARY
常规型 (C),是/否,能力,我能准确记录付款或销售数据,BINARY
现实型 (R),是/否,职业,我有兴趣做飞机维修技师,BINARY
现实型 (R),是/否,职业,我有兴趣做渔业与野生动物专家,BINARY
现实型 (R),是/否,职业,我有兴趣做汽车维修技师,BINARY
现实型 (R),是/否,职业,我有兴趣做设备维修工程师、技师,BINARY
现实型 (R),是/否,职业,我有兴趣做机械、设备操作员、调试员,BINARY
现实型 (R),是/否,职业,我有兴趣做质量工程师,BINARY
现实型 (R),是/否,职业,我有兴趣做建筑监理,BINARY
现实型 (R),是/否,职业,我有兴趣做无人机飞手,BINARY
现实型 (R),是/否,职业,我有兴趣做生产、工艺工程师,BINARY
现实型 (R),是/否,职业,我有兴趣做园艺师,BINARY
现实型 (R),是/否,职业,我有兴趣做地质勘探员,BINARY
现实型 (R),是/否,职业,我有兴趣做火车司机,BINARY
现实型 (R),是/否,职业,我有兴趣做机械加工技师,BINARY
现实型 (R),是/否,职业,我有兴趣做电工,BINARY
研究型 (I),是/否,职业,我有兴趣做气象学家,BINARY
研究型 (I),是/否,职业,我有兴趣做生物学家,BINARY
研究型 (I),是/否,职业,我有兴趣做天文学家,BINARY
研究型 (I),是/否,职业,我有兴趣做医学检验技师,BINARY
研究型 (I),是/否,职业,我有兴趣做人类学家,BINARY
研究型 (I),是/否,职业,我有兴趣做动物学家,BINARY
研究型 (I),是/否,职业,我有兴趣做化学家,BINARY
研究型 (I),是/否,职业,我有兴趣做独立科研人员,BINARY
研究型 (I),是/否,职业,我有兴趣做航空、航天工程人员,BINARY
研究型 (I),是/否,职业,我有兴趣做科学期刊编辑,BINARY
研究型 (I),是/否,职业,我有兴趣做地质学家,BINARY
研究型 (I),是/否,职业,我有兴趣做植物学家,BINARY
研究型 (I),是/否,职业,我有兴趣做科研工作者,BINARY
研究型 (I),是/否,职业,我有兴趣做物理学家,BINARY
艺术型 (A),是/否,职业,我有兴趣做诗人,BINARY
艺术型 (A),是/否,职业,我有兴趣做交响乐指挥,BINARY
艺术型 (A),是/否,职业,我有兴趣做音乐家,BINARY
艺术型 (A),是/否,职业,我有兴趣做作家,BINARY
艺术型 (A),是/否,职业,我有兴趣做商业美术设计师,BINARY
艺术型 (A),是/否,职业,我有兴趣做自由撰稿人,BINARY
艺术型 (A),是/否,职业,我有兴趣做音乐编曲,BINARY
艺术型 (A),是/否,职业,我有兴趣做记者,BINARY
艺术型 (A),是/否,职业,我有兴趣做肖像艺术家,BINARY
艺术型 (A),是/否,职业,我有兴趣做音乐会歌唱家,BINARY
艺术型 (A),是/否,职业,我有兴趣做作曲家,BINARY
艺术型 (A),是/否,职业,我有兴趣做雕塑家,BINARY
艺术型 (A),是/否,职业,我有兴趣做剧作家,BINARY
艺术型 (A),是/否,职业,我有兴趣做漫画家,BINARY
社会型 (S),是/否,职业,我有兴趣做社会学家,BINARY
社会型 (S),是/否,职业,我有兴趣做教师,BINARY
社会型 (S),是/否,职业,我有兴趣做青少年犯罪专家,BINARY
社会型 (S),是/否,职业,我有兴趣做心理医生,BINARY
社会型 (S),是/否,职业,我有兴趣做婚姻顾问,BINARY
社会型 (S),是/否,职业,我有兴趣做校长,BINARY
社会型 (S),是/否,职业,我有兴趣做社区工作者,BINARY
社会型 (S),是/否,职业,我有兴趣做临床心理学家,BINARY
社会型 (S),是/否,职业,我有兴趣做培训师,BINARY
社会型 (S),是/否,职业,我有兴趣做福利机构负责人,BINARY
社会型 (S),是/否,职业,我有兴趣做青少年营地负责人,BINARY
社会型 (S),是/否,职业,我有兴趣做个人咨询师,BINARY
社会型 (S),是/否,职业,我有兴趣做精神病个案社工,BINARY
社会型 (S),是/否,职业,我有兴趣做职业咨询师,BINARY
企业型 (E),是/否,职业,我有兴趣做公关经理,BINARY
企业型 (E),是/否,职业,我有兴趣做采购员,BINARY
企业型 (E),是/否,职业,我有兴趣做广告主管,BINARY
企业型 (E),是/否,职业,我有兴趣做厂商代表,BINARY
企业型 (E),是/否,职业,我有兴趣做电视、电影导演,BINARY
企业型 (E),是/否,职业,我有兴趣做酒店经理,BINARY
企业型 (E),是/否,职业,我有兴趣做企业高管,BINARY
企业型 (E),是/否,职业,我有兴趣做餐厅经理,BINARY
企业型 (E),是/否,职业,我有兴趣做司仪,BINARY
企业型 (E),是/否,职业,我有兴趣做销售人员,BINARY
企业型 (E),是/否,职业,我有兴趣做房地产销售员,BINARY
企业型 (E),是/否,职业,我有兴趣做宣传总监,BINARY
企业型 (E),是/否,职业,我有兴趣做体育推广人,BINARY
企业型 (E),是/否,职业,我有兴趣做销售经理,BINARY
常规型 (C),是/否,职业,我有兴趣做图书管理员,BINARY
常规型 (C),是/否,职业,我有兴趣做商业教师,BINARY
常规型 (C),是/否,职业,我有兴趣做预算审查员,BINARY
常规型 (C),是/否,职业,我有兴趣做注册会计师,BINARY
常规型 (C),是/否,职业,我有兴趣做信用调查员,BINARY
常规型 (C),是/否,职业,我有兴趣做法院速记员,BINARY
常规型 (C),是/否,职业,我有兴趣做银行柜员,BINARY
常规型 (C),是/否,职业,我有兴趣做税务专家,BINARY
常规型 (C),是/否,职业,我有兴趣做库存管理员,BINARY
常规型 (C),是/否,职业,我有兴趣做行政主管,BINARY
常规型 (C),是/否,职业,我有兴趣做财务分析师,BINARY
常规型 (C),是/否,职业,我有兴趣做成本估算师,BINARY
常规型 (C),是/否,职业,我有兴趣做薪资管理员,BINARY
常规型 (C),是/否,职业,我有兴趣做银行审查员,BINARY
现实型 (R),1/2/3/4/5/6/7,能力类型自评,评估自己与同龄人相比的真实情况。给出你对自己机械操作能力的评分,RATING
研究型 (I),1/2/3/4/5/6/7,能力类型自评,评估自己与同龄人相比的真实情况。给出你对自己科学研究能力的评分,RATING
艺术型 (A),1/2/3/4/5/6/7,能力类型自评,评估自己与同龄人相比的真实情况。给出你对自己艺术创作能力的评分,RATING
社会型 (S),1/2/3/4/5/6/7,能力类型自评,评估自己与同龄人相比的真实情况。给出你对自己解释表达能力的评分,RATING
企业型 (E),1/2/3/4/5/6/7,能力类型自评,评估自己与同龄人相比的真实情况。给出你对自己商业洽谈能力的评分,RATING
常规型 (C),1/2/3/4/5/6/7,能力类型自评,评估自己与同龄人相比的真实情况。给出你对自己事务执行能力的评分,RATING
现实型 (R),1/2/3/4/5/6/7,能力类型自评,评估自己与同龄人相比的真实情况。给出你对自己体育能力的评分,RATING
研究型 (I),1/2/3/4/5/6/7,能力类型自评,评估自己与同龄人相比的真实情况。给出你对自己数学能力的评分,RATING
艺术型 (A),1/2/3/4/5/6/7,能力类型自评,评估自己与同龄人相比的真实情况。给出你对自己音乐能力的评分,RATING
社会型 (S),1/2/3/4/5/6/7,能力类型自评,评估自己与同龄人相比的真实情况。给出你对自己交际能力的评分,RATING
企业型 (E),1/2/3/4/5/6/7,能力类型自评,评估自己与同龄人相比的真实情况。给出你对自己领导技能的评分,RATING
常规型 (C),1/2/3/4/5/6/7,能力类型自评,评估自己与同龄人相比的真实情况。给出你对自己办公技能的评分,RATING